SMILES,phase
CCCCCCCCCCCCCCCC(=O)Nc1ccn(C2OC(CO)C(O)C2C#N)c(=O)n1,3
CC(C)Cc1ccc(C(C)C(=O)NS(C)(=O)=O)cc1,3
CN(C)C1(c2ccccc2)CCC2(CC1)OCCc1c2[nH]c2ccc(F)cc12,3
Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1,3
CCCC(C)CC(N)CC(=O)O,3
COc1ccc(-c2cc(=O)c3c(OC)cc(OCC(=O)O)cc3o2)cc1OC,3
CCC(C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,3
CCCCC(NC(=O)C(CCCN=C(N)N)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(Cc1cnc[nH]1)C(=O)N1CCCC1C(=O)O)C(C)CC,3
CC(NC1CCN(c2ccc(CC(=O)O)cc2)C1)c1cccc2ccccc12,3
CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)NC(Cc1ccc(NC(=O)C2CC(=O)NC(=O)N2)cc1)C(=O)NC(Cc1ccc(NC(N)=O)cc1)C(=O)NC(CC(C)C)C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(N)=O,3
C=CC(C)(C)OCC1OC(OC2C3=C(C(C)COC(C)=O)CC(O)C3(C)C=C3C(COC)CCC3C(C)C2O)C(O)C(OC(C)=O)C1O,3
Cc1ncc(CO)c(CO)c1O,3
COc1ccc(C2C(CCC(O)c3ccc(F)cc3)C(=O)N2c2ccc(CNC(=O)CCCCCCCCCCC(=O)NCC(O)C(O)C(O)C(O)CO)cc2)cc1,3
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,3
C#Cc1cnc2[nH]c(=O)n(C(CC)CC)c2n1,3
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,3
C=C1C(=CC=C2CCCC3(C)C(C(C)OCC(=O)NCC(F)(F)C(F)(F)F)=CCC23)CC(O)CC1O,3
COc1cccc(C2OC(CC(=O)N3CCC(CC(=O)O)CC3)C(=O)N(CC(C)(C)COC(C)=O)c3ccc(Cl)cc32)c1OC,3
O=C(CNC1CCNC1)N1CCCC1B(O)O,3
CNC1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)CC1OC,3
CC(Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ncc(C(F)(F)F)cc2F)CC1)C(F)(F)F,3
Cc1cnc(C(=O)O)c[n+]1[O-],3
c1ccc(-c2ccc3ccccc3[o+]2)cc1,3
COc1cc(C(=O)O)ccc1NC(=O)C1NC(CC(C)(C)C)C(C#N)(c2ccc(Cl)cc2F)C1c1cccc(Cl)c1F,3
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,3
O=C(O)CNC(=O)c1c(=O)cc(CCc2ccccc2)n2[nH]cnc12,3
CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,3
CNC(C)Cc1ccc2c(c1)OCO2,3
CNCC1OCCc2ccsc21,3
COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,3
O=c1[nH]oc2c1CCNC2,3
O=C(O)COCC1CCC(COC(=O)N(c2ccccc2)c2ccc(Cl)cc2)CC1,3
Fc1cc(F)c(OCc2ccccc2C2CCNCC2)c(F)c1,3
CCCCCC=CCC=CCCCCCCCC(=O)OCC,3
COc1cccc(-c2ccc(NC(=O)C3=C(C(=O)O)CCC3)c(F)c2)c1,3
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,3
Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,3
FC(F)(F)Oc1ccc(Nc2ccc3cccc(Cl)c3n2)cc1,3
CN(C)CC1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,3
CCOc1ccc2c(c1)C1(CCC(OCCN3CCOCC3)CC1)C(=O)N2S(=O)(=O)c1ccc(C(=O)NC(C)(C)C)cc1OC,3
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)C=CC1CCCN1C,3
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,3
Cc1oc(=O)oc1COC(=O)N1CCC(N2CCC(=CC3=C(C(=O)O)N4C(=O)C(NC(=O)C(=NO)c5nsc(N)n5)C4SC3)C2=O)C1,3
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,3
