,SMILES,Molskill
0,CC1=NC2=C(C=C(C(OC3)=C2)N4[C@@H]3CN(CC4)C(C5(C#N)CC5)=O)C(N[C@@H](C6=C(C(C(F)F)=CC=C6)F)C)=N1,9.480935
1,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(N)=O)CC4)C(OCC5)=C2,8.878287
2,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C(C)(C)C)=O)CC4)C(OCC5)=C2,3.8184605
3,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6(C#N)CC6)=O)CC4)C(OCC5)=C2,10.269826
4,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6COC6)=O)CC4)C(OCC5)=C2,6.7883773
5,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(OC6COC6)=O)CC4)C(OCC5)=C2,4.4883494
6,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C([C@@H]6CCOC6)=O)CC4)C(OCC5)=C2,7.493674
7,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6=CC=NN6C)=O)CC4)C(OCC5)=C2,11.787329
8,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6=CN=CC=C6)=O)CC4)C(OCC5)=C2,7.775042
9,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C)CC4)C(OCC5)=C2,6.9851546
10,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C)C)CC4)C(OCC5)=C2,9.598291
11,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(F)(F)F)CC4)C(OCC5)=C2,8.486317
12,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(CC#N)CC4)C(OCC5)=C2,11.575553
13,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(CCOC)CC4)C(OCC5)=C2,4.392247
14,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(CC6COC6)CC4)C(OCC5)=C2,6.4404483
15,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C6=CC=NN6C)CC4)C(OCC5)=C2,6.7812896
16,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN([C@@H]6COCC6)CC4)C(OCC5)=C2,7.6884503
17,NC1=NC=C(C2=CN(C3CCNCC3)N=C2)C=C1C(NCC4=CC=CC=C4)=O,9.209893
18,NC1=NC=C(C2=CN(C3CCNCC3)N=C2)C=C1C(NC4CCCC4)=O,12.188554
19,NC1=NC=C(C2=CN(C3CCNCC3)N=C2)C=C1C(N[C@H]4CCC[C@@H]4OCC5=CC=CC=C5)=O,4.786364
20,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=CC=C4)=O,-10.863898
21,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@@H](CCCC3)[C@H]3OCC4=CC=CC=C4)=O,-7.70768
22,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@@H](C(C)C)C(OCC3=CC=CC=C3)=O)=O,-2.7341146
23,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@@H]3CCC[C@H]3OCC4=CC=CC=C4)=O,-10.863898
24,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=CC=C5)C=C4)=O,-6.538802
25,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(N)C=C5)C=C4)=O,-3.1731553
26,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(CN)C=C5)C=C4)=O,-5.5793605
